id,name,type_code,type_name,subtype_name,is_intervention,is_international
1,Franco-Spanish War,1,Inter-State,Inter-State,,
4,First Russo-Turkish,1,Inter-State,Inter-State,,
7,Mexican-American,1,Inter-State,Inter-State,,
10,Austro-Sardinian,1,Inter-State,Inter-State,,
13,First Schleswig-Holstein,1,Inter-State,Inter-State,,
16,Roman Republic,1,Inter-State,Inter-State,,
19,La Plata,1,Inter-State,Inter-State,,
22,Crimean,1,Inter-State,Inter-State,,
25,Anglo-Persian,1,Inter-State,Inter-State,,
28,Italian Unification,1,Inter-State,Inter-State,,
31,First Spanish-Moroccan,1,Inter-State,Inter-State,,
34,Italian-Roman,1,Inter-State,Inter-State,,
37,Neapolitan,1,Inter-State,Inter-State,,
40,Franco-Mexican,1,Inter-State,Inter-State,,
43,Ecuadorian-Colombian,1,Inter-State,Inter-State,,
46,Second Schleswig-Holstein,1,Inter-State,Inter-State,,
49,Lopez,1,Inter-State,Inter-State,,
52,Naval War,1,Inter-State,Inter-State,,
55,Seven Weeks,1,Inter-State,Inter-State,,
58,Franco-Prussian,1,Inter-State,Inter-State,,
60,First Central American,1,Inter-State,Inter-State,,
61,Second Russo-Turkish,1,Inter-State,Inter-State,,
64,War of the Pacific,1,Inter-State,Inter-State,,
65,Conquest of Egypt,1,Inter-State,Inter-State,,
67,Sino-French,1,Inter-State,Inter-State,,
70,Second Central American,1,Inter-State,Inter-State,,
73,First Sino-Japanese,1,Inter-State,Inter-State,,
76,Greco-Turkish,1,Inter-State,Inter-State,,
79,Spanish-American,1,Inter-State,Inter-State,,
82,Boxer Rebellion,1,Inter-State,Inter-State,,
83,Sino-Russian,1,Inter-State,Inter-State,,
85,Russo-Japanese,1,Inter-State,Inter-State,,
88,Third Central American,1,Inter-State,Inter-State,,
91,Fourth Central American,1,Inter-State,Inter-State,,
94,Second Spanish-Moroccan,1,Inter-State,Inter-State,,
97,Italian-Turkish,1,Inter-State,Inter-State,,
100,First Balkan,1,Inter-State,Inter-State,,
103,Second Balkan,1,Inter-State,Inter-State,,
106,World War I,1,Inter-State,Inter-State,,
107,Estonian Liberation,1,Inter-State,Inter-State,,
108,Latvian Liberation,1,Inter-State,Inter-State,,
109,Russo-Polish,1,Inter-State,Inter-State,,
112,Hungarian Adversaries,1,Inter-State,Inter-State,,
115,Second Greco-Turkish,1,Inter-State,Inter-State,,
116,Franco-Turkish,1,Inter-State,Inter-State,,
117,Lithuanian-Polish,1,Inter-State,Inter-State,,
118,Manchurian,1,Inter-State,Inter-State,,
121,Second Sino-Japanese,1,Inter-State,Inter-State,,
124,Chaco,1,Inter-State,Inter-State,,
125,Saudi-Yemeni,1,Inter-State,Inter-State,,
127,Conquest of Ethiopia,1,Inter-State,Inter-State,,
130,Third Sino-Japanese,1,Inter-State,Inter-State,,
133,Changkufeng,1,Inter-State,Inter-State,,
136,Nomonhan,1,Inter-State,Inter-State,,
139,World War II,1,Inter-State,Inter-State,,
