id,name,type_code,is_intervention,is_international
1,Franco-Spanish War,1,,
4,First Russo-Turkish,1,,
7,Mexican-American,1,,
10,Austro-Sardinian,1,,
13,First Schleswig-Holstein,1,,
16,Roman Republic,1,,
19,La Plata,1,,
22,Crimean,1,,
25,Anglo-Persian,1,,
28,Italian Unification,1,,
31,First Spanish-Moroccan,1,,
34,Italian-Roman,1,,
37,Neapolitan,1,,
40,Franco-Mexican,1,,
43,Ecuadorian-Colombian,1,,
46,Second Schleswig-Holstein,1,,
49,Lopez,1,,
52,Naval War,1,,
55,Seven Weeks,1,,
58,Franco-Prussian,1,,
60,First Central American,1,,
61,Second Russo-Turkish,1,,
64,War of the Pacific,1,,
65,Conquest of Egypt,1,,
67,Sino-French,1,,
70,Second Central American,1,,
73,First Sino-Japanese,1,,
76,Greco-Turkish,1,,
79,Spanish-American,1,,
82,Boxer Rebellion,1,,
83,Sino-Russian,1,,
85,Russo-Japanese,1,,
88,Third Central American,1,,
91,Fourth Central American,1,,
94,Second Spanish-Moroccan,1,,
97,Italian-Turkish,1,,
100,First Balkan,1,,
103,Second Balkan,1,,
106,World War I,1,,
107,Estonian Liberation,1,,
108,Latvian Liberation,1,,
109,Russo-Polish,1,,
112,Hungarian Adversaries,1,,
115,Second Greco-Turkish,1,,
116,Franco-Turkish,1,,
117,Lithuanian-Polish,1,,
118,Manchurian,1,,
121,Second Sino-Japanese,1,,
124,Chaco,1,,
125,Saudi-Yemeni,1,,
127,Conquest of Ethiopia,1,,
130,Third Sino-Japanese,1,,
133,Changkufeng,1,,
136,Nomonhan,1,,
139,World War II,1,,
142,Russo-Finnish,1,,
145,Franco-Thai,1,,
147,First Kashmir,1,,
148,Arab-Israeli,1,,
151,Korean,1,,
153,Off-shore Islands,1,,
155,Sinai War,1,,
156,Soviet Invasion of Hungary,1,,
158,IfniWar,1,,
159,Taiwan Straits,1,,
160,Assam,1,,
163,"Vietnam War, Phase 2",1,,
166,Second Kashmir,1,,
169,Six Day War,1,,
170,"Second Laotian, Phase 2",1,,
172,War of Attrition,1,,
175,Football War,1,,
176,Communist Coalition,1,,
178,Bangladesh,1,,
181,Yom Kippur War,1,,
184,Turco-Cypriot,1,,
186,War over Angola,1,,
187,"Second Ogaden War, Phase 2",1,,
189,Vietnamese-Cambodian,1,,
190,Ugandian-Tanzanian,1,,
193,Sino-Vietnamese Punitive,1,,
199,Iran-Iraq,1,,
202,Falkland Islands,1,,
205,War over Lebanon,1,,
207,War over the Aouzou Strip,1,,
208,Sino-Vietnamese Border War,1,,
211,Gulf War,1,,
215,Bosnian Independence,1,,
216,Azeri-Armenian,1,,
217,Cenepa Valley,1,,
219,Badme Border,1,,
221,War for Kosovo,1,,
223,Kargil War,1,,
225,Invasion of Afghanistan,1,,
227,Invasion of Iraq,1,,
500,First Caucasus War of 1818-1822,5,,False
502,First Two Sicilies War of 1820-1821,4,,True
502.1,Ali Pasha Rebellion of 1820-1822,5,,False
503,Sardinian Revolt of 1821,4,,True
504,Greek Independence War of 1821-1828,5,,True
504.3,Sidon-Damascus War of 1821-1822,6,,False
505,Spanish Royalists War of 1821-1823,4,,False
507,Egypt-Mehdi War of 1824,6,,False
507.5,Greater Chechnya Revolt of 1825-1826,5,,False
508,Janissari Revolt of 1826,4,,False
511,First Murid War of 1830-1832,5,,False
512,First Albanian Revolt of 1830-1832,5,,False
513,First French Insurrection of 1830,4,,False
515,Belgian Independence War of 1830,5,,False
516,Egyptian Taka Expedition of 1831,6,,False
517,First Polish War of 1831,5,,False
518,First Syrian War of 1831-1832,5,,False
520,First Mexican War of 1832,4,,False
520.3,Cabanada War of 1832-1835,4,,False
520.5,Miguelite War of 1832-1834,4,,True
521,Palestinian Anti-Conscription Revolt of 1834,6,,False
522,First Carlist War of 1834-1840,4,,True
523,Second Murid War of 1834,5,,False
525,Cabanos Revolt of 1835-1837,5,,False
525.5,Zacatecas Rebellion of 1835,4,,False
526,Farroupilha War of 1835-1845,5,,False
527,Texan War of 1835-1836,5,,False
528,First Bosnian War of 1836,5,,False
530,Third Murid War of 1836-1852,5,,False
531,Sabinada Rebellion of 1837-1838,5,,False
532,Druze Rebellion of 1837-1838,6,,False
532.5,Tampico Revolt of 1838-1839,4,,False
532.7,Balaiada Revolt of 1838-1841,5,,False
533,Second Syrian War of 1839,5,,False
535,Lebanon Insurgency of 1840,6,,False
536,First Colombian War of 1840-1842,4,,False
537,Third Syrian War of 1840-1841,5,,True
538,First Argentina War phase 2 of 1841-1842,4,,False
539,Nish Uprising of 1841,5,,False
540,Second Bosnian War of 1841,5,,False
541,Triangular Revolt of 1841,4,,False
541.2,First Maronite-Druze War of 1841,7,,False
542,Karbala Revolt of 1842-1843,5,,False
543,Second Maronite-Druze War of 1845,7,,False
544,Patuleia War of 1846-1847,4,,True
545,Mayan Caste War phase 1 of 1847-1848,6,,False
546,Second Carlist War of 1847-1849,4,,False
547,Second Two Sicilies War of 1848-1849,4,,False
548, First Venezuela War of 1848-1849,4,,False
549,Second French Insurrection of 1848,4,,False
550,Viennese Revolt of 1848,4,,False
551,Milan Five Day Revolt of 1848,5,,False
553,Mayan Caste War phase 2 of 1848-1855,5,,False
554,Hungarian War of 1848-1849,5,,True
554.3,Third Bosnian War of 1850-1851,5,,False
554.5,Aleppo Revolt of 1850,5,,False
555,First Chilean War of 1851-1852,4,,False
555.8,Druze Rebellion of 1852,5,,False
556,First Turco-Montenegrin War of 1852-1853,5,,False
557,Peruvian Liberal Revolution of 1853-1855,4,,False
557.1,Epirus Revolt of 1854,5,,False
557.2,Greek Nationalists of Macedonia War of 1854,5,,False
557.3,Colombia's Barracks Rebellion of 1854 ,4,,False
557.8,Barquisimeto Rebellion of 1854,4,,False
557.9,Libyan Insurrection of 1855-1856,5,,False
558,Puebla War of 1855-1856,4,,False
560,Second Peru War of 1856-1858,4,,False
561,Mexican Reform of 1858-1861,4,,False
562,Second Turco-Montenegrin War of 1858,5,,False
562.5,Constituent Revolution  of 1859,4,,False
563,Venezuelan Federal War of 1859-1863,4,,False
565,Third Colombian War of 1860-1862,4,,False
566,Third Maronite-Druze War of 1860,7,,False
567,Taiping Rebellion phase 2 of 1860-1866,4,,True
568,Second Nien Revolt  of 1860-1868,5,,False
570,Miao Rebellion phase 2 of 1860-1872,5,,False
571,Panthay Rebellion phase 2 of 1860-1874,5,,False
572,U.S. Civil War of 1861-1865,5,,False
573,Third Buenos Aires War of 1861-1862,4,,False
575,Third Turco-Montenegrin War of 1861-1862,5,,False
576,Tungan Rebellion of 1862-1873,5,,False
