war,region
1,Europe
4,Europe
4,Middle East
7,W. Hemisphere
10,Europe
13,Europe
16,Europe
19,W. Hemisphere
22,Europe
25,Middle East
28,Europe
31,Middle East
34,Europe
37,Europe
40,W. Hemisphere
43,W. Hemisphere
46,Europe
49,W. Hemisphere
52,W. Hemisphere
55,Europe
58,Europe
60,W. Hemisphere
61,Europe
61,Middle East
64,W. Hemisphere
65,Middle East
67,Asia
70,W. Hemisphere
73,Asia
76,Europe
79,W. Hemisphere
79,Asia
82,Asia
83,Asia
85,Asia
88,W. Hemisphere
91,W. Hemisphere
94,Middle East
97,Middle East
100,Europe
100,Middle East
103,Europe
106,Europe
106,Africa
106,Middle East
106,Asia
107,Europe
108,Europe
109,Europe
112,Europe
115,Europe
115,Middle East
116,Middle East
117,Europe
118,Asia
121,Asia
124,W. Hemisphere
125,Middle East
127,Africa
130,Asia
133,Asia
136,Asia
139,Europe
139,Africa
139,Middle East
139,Asia
139,Oceania
142,Europe
145,Asia
147,Asia
148,Middle East
151,Asia
153,Asia
155,Middle East
156,Europe
158,Middle East
159,Asia
160,Asia
163,Asia
166,Asia
169,Middle East
170,Asia
172,Middle East
175,W. Hemisphere
176,Asia
178,Asia
181,Middle East
184,Europe
186,Africa
187,Africa
189,Asia
190,Africa
193,Asia
199,Middle East
202,W. Hemisphere
205,Middle East
207,Africa
207,Middle East
208,Asia
211,Middle East
215,Europe
216,Europe
217,W. Hemisphere
219,Africa
221,Europe
223,Asia
225,Asia
227,Middle East
500,Europe
502,Europe
502.1,Europe
503,Europe
504,Europe
504.3,Middle East
505,Europe
507,Middle East
507.5,Europe
508,Middle East
511,Europe
512,Europe
513,Europe
515,Europe
516,Middle East
517,Europe
518,Middle East
520,W. Hemisphere
520.3,W. Hemisphere
520.5,Europe
521,Middle East
522,Europe
523,Europe
525,W. Hemisphere
525.5,W. Hemisphere
526,W. Hemisphere
527,W. Hemisphere
528,Europe
530,Europe
531,W. Hemisphere
532,Middle East
532.5,W. Hemisphere
532.7,W. Hemisphere
533,Middle East
535,Middle East
536,W. Hemisphere
537,Middle East
538,W. Hemisphere
539,Europe
540,Europe
541,W. Hemisphere
541.2,Middle East
542,Middle East
543,Middle East
544,Europe
545,W. Hemisphere
546,Europe
547,Europe
548,W. Hemisphere
549,Europe
550,Europe
551,Europe
553,W. Hemisphere
554,Europe
554.3,Europe
554.5,Middle East
555,W. Hemisphere
555.8,Middle East
556,Europe
557,W. Hemisphere
557.1,Europe
557.2,Europe
557.3,W. Hemisphere
557.8,W. Hemisphere
557.9,Middle East
558,W. Hemisphere
560,W. Hemisphere
561,W. Hemisphere
562,Europe
562.5,W. Hemisphere
563,W. Hemisphere
565,W. Hemisphere
566,Middle East
567,Asia
568,Asia
570,Asia
571,Asia
572,W. Hemisphere
573,W. Hemisphere
575,Europe
576,Asia
577,W. Hemisphere
578,W. Hemisphere
579,Europe
580,W. Hemisphere
580.5,Europe
581,Middle East
582,Asia
582.3,Asia
582.5,W. Hemisphere
583,Europe
585,Asia
586,W. Hemisphere
586.5,Asia
587,W. Hemisphere
587.8,W. Hemisphere
588,Asia
591,Europe
592,W. Hemisphere
592.5,W. Hemisphere
592.7,Asia
593,W. Hemisphere
595,W. Hemisphere
596,Europe
596.7,Asia
597,Europe
597.5,W. Hemisphere
598,Europe
600,W. Hemisphere
